Pavadinimas,Metai,Trukme,Filmo indeksas,Ivertinimas pagal zmones,Ivertinimas pagal kritikus,Votes
Animal,2023,204,,7.1,33,"38,795"
May December,2023,117,R,7.1,85,"15,017"
Leave the World Behind,2023,138,R,6.6,67,"43,943"
Godzilla Minus One,2023,124,PG-13,8.5,79,"14,564"
Napoleon,2023,158,R,6.6,64,"59,857"
Killers of the Flower Moon,2023,206,R,7.9,89,"115,853"
Candy Cane Lane,2023,117,PG,5.6,47,"9,153"
Furiosa: A Mad Max Saga,2024,N/A,,,,N/A
The Hunger Games: The Ballad of Songbirds & Snakes,2023,157,PG-13,7.2,54,"49,543"
Wonka,2023,116,PG,7.5,69,"7,248"
Lady Ballers,2023,112,TV-14,6.3,,"8,406"
Poor Things,2023,141,R,8.5,88,"4,658"
Family Switch,2023,106,PG,5.6,37,"12,614"
Saltburn,2023,131,R,7.5,60,"11,364"
Oppenheimer,2023,180,R,8.4,89,"543,691"
Godzilla x Kong: The New Empire,2024,N/A,,,,N/A
Indiana Jones and the Dial of Destiny,2023,154,PG-13,6.6,58,"151,283"
Leo,2023,102,PG,7.0,65,"18,109"
Home Alone,1990,103,PG,7.7,63,"624,612"
The Holdovers,2023,133,R,8.1,82,"18,863"
The Archies,2023,141,TV-14,6.8,65,"28,973"
Silent Night,2023,104,R,5.8,54,"2,998"
Love Actually,2003,135,R,7.6,55,"513,800"
National Lampoon's Christmas Vacation,1989,97,PG-13,7.5,49,"210,843"
Elf,2003,97,PG,7.1,66,"297,402"
The Killer,2023,118,R,6.8,73,"132,467"
The Shift,2023,115,PG-13,6.5,,"1,882"
Thanksgiving,2023,106,R,6.9,63,"12,456"
The Boy and the Heron,2023,124,PG-13,7.7,92,"11,342"
How the Grinch Stole Christmas,2000,104,PG,6.3,46,"277,973"
Wish,2023,95,PG,5.9,47,"9,493"
A Haunting in Venice,2023,103,PG-13,6.5,63,"80,212"
Barbie,2023,114,PG-13,7.0,80,"402,495"
The Super Mario Bros. Movie,2023,92,PG,7.1,46,"209,844"
The Creator,2023,133,PG-13,6.9,63,"86,817"
Five Nights at Freddy's,2023,109,PG-13,5.5,33,"76,416"
The Marvels,2023,105,PG-13,5.9,50,"61,866"
Maestro,2023,129,R,7.3,78,"2,514"
The Grinch,2018,85,PG,6.4,51,"83,513"
Violent Night,2022,112,R,6.7,55,"85,207"
Mad Max: Fury Road,2015,120,R,8.1,90,"1,060,627"
The Hunger Games,2012,142,PG-13,7.2,68,"979,602"
Trolls Band Together,2023,91,PG,6.0,53,"6,488"
Dream Scenario,2023,102,R,7.4,74,"6,653"
Aquaman and the Lost Kingdom,2023,124,PG-13,,,N/A
The Santa Clause,1994,97,PG,6.5,57,"129,217"
Genie,2023,93,PG,5.9,35,"4,889"
Rebel Moon: Part One - A Child of Fire,2023,133,PG-13,,,N/A
Die Hard,1988,132,R,8.2,72,"921,893"
Eileen,2023,97,R,6.7,71,"1,607"
Home Alone 2: Lost in New York,1992,120,PG,6.9,46,"387,002"
The Polar Express,2004,100,G,6.6,61,"231,333"
In the Land of Saints and Sinners,2023,106,R,6.1,,"2,532"
X,2022,105,R,6.5,79,"155,779"
Mr. Monk's Last Case: A Monk Movie,2023,97,TV-PG,7.4,65,"1,875"
Tiger 3,2023,154,,7.4,,"43,256"
Anyone But You,2023,100,,,,N/A
Freelance,2023,108,R,5.4,24,"5,953"
Leo,2023,164,,7.3,,"48,826"
No Hard Feelings,2023,103,R,6.4,59,"115,401"
Spider-Man: Across the Spider-Verse,2023,140,PG,8.7,86,"310,236"
Mission: Impossible - Dead Reckoning Part One,2023,163,PG-13,7.8,81,"198,938"
Dune: Part Two,2024,150,PG-13,,,N/A
A Christmas Story,1983,93,PG,7.9,77,"163,738"
There's Something in the Barn,2023,100,R,5.7,,"1,286"
The Holiday,2006,136,PG-13,6.9,52,"309,998"
The Silencing,2020,93,R,6.2,,"31,085"
The Iron Claw,2023,130,,,,N/A
The Batman,2022,176,PG-13,7.8,72,"748,706"
Talk to Me,2022,95,R,7.1,76,"109,140"
Blue Beetle,2023,127,PG-13,6.0,61,"76,481"
White Christmas,1954,120,Not Rated,7.6,56,"48,014"
Anatomy of a Fall,2023,151,R,7.9,86,"19,063"
It's a Wonderful Life,1946,130,PG,8.6,89,"484,740"
The Exorcist: Believer,2023,111,R,4.8,39,"30,715"
Everything Everywhere All at Once,2022,139,R,7.8,81,"493,213"
Interstellar,2014,169,PG-13,8.7,74,"2,023,540"
Sam Bahadur,2023,150,,8.3,,"5,115"
Harry Potter and the Sorcerer's Stone,2001,152,PG,7.6,65,"836,597"
Jawan,2023,169,Not Rated,7.0,,"79,643"
The Color Purple,2023,140,PG-13,,,N/A
The Equalizer 3,2023,109,R,6.9,58,"75,717"
The Suicide Squad,2021,132,R,7.2,72,"394,111"
Spirited,2022,127,PG-13,6.6,55,"45,490"
Renaissance: A Film by Beyoncé,2023,169,Not Rated,8.9,86,"2,226"
Scott Pilgrim vs. the World,2010,112,PG-13,7.5,69,"457,072"
The Shawshank Redemption,1994,142,R,9.3,82,"2,829,000"
